Product Name,Variant,SKU,Price (PKR),Compare At Price (PKR),On Sale,Discount,Available,Requires Shipping,Weight (grams),Product Type,Vendor,Tags,Description,Image URL,Product URL
Rangeen 3Pc - Wedding Formal Dress,S / Peal White / Net & Organza,BDS1012-SML-GOD,28990.00,28990.00,No,,Yes,Yes,1000,BATIKSTUDIO2025,BATIK,"20k, 3pc, batikfestive2025, batikstudio, Desire, Desire Formal, EXPLORE TOP PICKS, jahanara, jahanara2, L, Luxury Pret, luxury pret new, luxuryfestivepret, M, Pearl White, Raw Silk, S, sale2026, summerendsale, weddingformals, winter2025, winterpret, winterpret2025, winterpretnew","Ready to wear 3Pc Dress The shirt is crafted from khaddi masoori net in a rich gold tone, featuring a composed embroidered front with heavy handwork on the neckline, finished with delicate tassels. The front and back hems are accented with contrasting organza borders, while the embroidered sleeves are completed with matching organza and lace, adding a touch of refined elegance. Paired with a raw silk gharara, the ensemble combines structure and flow with an all-over embroidered spread, finished ",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Rangeen-3Pc-Wedding-Formal-Dress-BATIK-25116471394350.jpg?v=1767418917,https://batik.com.pk/products/rangeen-3pc-wedding-formal-dress
Rangeen 3Pc - Wedding Formal Dress,M / Peal White / Net & Organza,BDS1012-MED-GOD,28990.00,28990.00,No,,No,Yes,1000,BATIKSTUDIO2025,BATIK,"20k, 3pc, batikfestive2025, batikstudio, Desire, Desire Formal, EXPLORE TOP PICKS, jahanara, jahanara2, L, Luxury Pret, luxury pret new, luxuryfestivepret, M, Pearl White, Raw Silk, S, sale2026, summerendsale, weddingformals, winter2025, winterpret, winterpret2025, winterpretnew","Ready to wear 3Pc Dress The shirt is crafted from khaddi masoori net in a rich gold tone, featuring a composed embroidered front with heavy handwork on the neckline, finished with delicate tassels. The front and back hems are accented with contrasting organza borders, while the embroidered sleeves are completed with matching organza and lace, adding a touch of refined elegance. Paired with a raw silk gharara, the ensemble combines structure and flow with an all-over embroidered spread, finished ",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Rangeen-3Pc-Wedding-Formal-Dress-BATIK-25116471394350.jpg?v=1767418917,https://batik.com.pk/products/rangeen-3pc-wedding-formal-dress
Rangeen 3Pc - Wedding Formal Dress,L / Peal White / Net & Organza,BDS1012-LAR-GOD,28990.00,28990.00,No,,Yes,Yes,1000,BATIKSTUDIO2025,BATIK,"20k, 3pc, batikfestive2025, batikstudio, Desire, Desire Formal, EXPLORE TOP PICKS, jahanara, jahanara2, L, Luxury Pret, luxury pret new, luxuryfestivepret, M, Pearl White, Raw Silk, S, sale2026, summerendsale, weddingformals, winter2025, winterpret, winterpret2025, winterpretnew","Ready to wear 3Pc Dress The shirt is crafted from khaddi masoori net in a rich gold tone, featuring a composed embroidered front with heavy handwork on the neckline, finished with delicate tassels. The front and back hems are accented with contrasting organza borders, while the embroidered sleeves are completed with matching organza and lace, adding a touch of refined elegance. Paired with a raw silk gharara, the ensemble combines structure and flow with an all-over embroidered spread, finished ",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Rangeen-3Pc-Wedding-Formal-Dress-BATIK-25116471394350.jpg?v=1767418917,https://batik.com.pk/products/rangeen-3pc-wedding-formal-dress
Kian 2Pc - Embroidered Festive Pret,XS / Mustard / Textured Cotton,BAP1069-XSM-MUS,6993.00,9990.00,Yes,30.0% off,No,Yes,800,BATIK WINTER PRET 2025,BATIK,"3pc, aurelle, batikfestive2025, Casuals, Cotton, EXPLORE TOP PICKS, festiveedit, festivepret, kianaureliasg, kianvideo, L, luxuryfestivepret, M, Mustard, S, winter2025, winterpret2025, wintersolids25, XL, XS","Ready to wear 2Pc dress This karandi set features a straight long shirt with a front embroidered surface and a stitched neckline. Kurta style flared sleeves are finished with contrasting black borders, adding definition to the silhouette. Paired with contrasting trousers, the outfit maintains a clean and structured look that feels easy to wear. Disclaimer: Colors may slightly vary due to lighting conditions and screen display settings.",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Kian-2Pc-Embroidered-Festive-Pret-BATIK-25108791132206.jpg?v=1767073402,https://batik.com.pk/products/kian-3pc-embroidered-festive-pret
Kian 2Pc - Embroidered Festive Pret,S / Mustard / Textured Cotton,BAP1069-SML-MUS,6993.00,9990.00,Yes,30.0% off,No,Yes,800,BATIK WINTER PRET 2025,BATIK,"3pc, aurelle, batikfestive2025, Casuals, Cotton, EXPLORE TOP PICKS, festiveedit, festivepret, kianaureliasg, kianvideo, L, luxuryfestivepret, M, Mustard, S, winter2025, winterpret2025, wintersolids25, XL, XS","Ready to wear 2Pc dress This karandi set features a straight long shirt with a front embroidered surface and a stitched neckline. Kurta style flared sleeves are finished with contrasting black borders, adding definition to the silhouette. Paired with contrasting trousers, the outfit maintains a clean and structured look that feels easy to wear. Disclaimer: Colors may slightly vary due to lighting conditions and screen display settings.",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Kian-2Pc-Embroidered-Festive-Pret-BATIK-25108791132206.jpg?v=1767073402,https://batik.com.pk/products/kian-3pc-embroidered-festive-pret
Kian 2Pc - Embroidered Festive Pret,M / Mustard / Textured Cotton,BAP1069-MED-MUS,6993.00,9990.00,Yes,30.0% off,Yes,Yes,800,BATIK WINTER PRET 2025,BATIK,"3pc, aurelle, batikfestive2025, Casuals, Cotton, EXPLORE TOP PICKS, festiveedit, festivepret, kianaureliasg, kianvideo, L, luxuryfestivepret, M, Mustard, S, winter2025, winterpret2025, wintersolids25, XL, XS","Ready to wear 2Pc dress This karandi set features a straight long shirt with a front embroidered surface and a stitched neckline. Kurta style flared sleeves are finished with contrasting black borders, adding definition to the silhouette. Paired with contrasting trousers, the outfit maintains a clean and structured look that feels easy to wear. Disclaimer: Colors may slightly vary due to lighting conditions and screen display settings.",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Kian-2Pc-Embroidered-Festive-Pret-BATIK-25108791132206.jpg?v=1767073402,https://batik.com.pk/products/kian-3pc-embroidered-festive-pret
Kian 2Pc - Embroidered Festive Pret,L / Mustard / Textured Cotton,BAP1069-LAR-MUS,6993.00,9990.00,Yes,30.0% off,No,Yes,800,BATIK WINTER PRET 2025,BATIK,"3pc, aurelle, batikfestive2025, Casuals, Cotton, EXPLORE TOP PICKS, festiveedit, festivepret, kianaureliasg, kianvideo, L, luxuryfestivepret, M, Mustard, S, winter2025, winterpret2025, wintersolids25, XL, XS","Ready to wear 2Pc dress This karandi set features a straight long shirt with a front embroidered surface and a stitched neckline. Kurta style flared sleeves are finished with contrasting black borders, adding definition to the silhouette. Paired with contrasting trousers, the outfit maintains a clean and structured look that feels easy to wear. Disclaimer: Colors may slightly vary due to lighting conditions and screen display settings.",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Kian-2Pc-Embroidered-Festive-Pret-BATIK-25108791132206.jpg?v=1767073402,https://batik.com.pk/products/kian-3pc-embroidered-festive-pret
Kian 2Pc - Embroidered Festive Pret,XL / Mustard / Textured Cotton,BAP1069-XLR-MUS,6993.00,9990.00,Yes,30.0% off,No,Yes,800,BATIK WINTER PRET 2025,BATIK,"3pc, aurelle, batikfestive2025, Casuals, Cotton, EXPLORE TOP PICKS, festiveedit, festivepret, kianaureliasg, kianvideo, L, luxuryfestivepret, M, Mustard, S, winter2025, winterpret2025, wintersolids25, XL, XS","Ready to wear 2Pc dress This karandi set features a straight long shirt with a front embroidered surface and a stitched neckline. Kurta style flared sleeves are finished with contrasting black borders, adding definition to the silhouette. Paired with contrasting trousers, the outfit maintains a clean and structured look that feels easy to wear. Disclaimer: Colors may slightly vary due to lighting conditions and screen display settings.",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Kian-2Pc-Embroidered-Festive-Pret-BATIK-25108791132206.jpg?v=1767073402,https://batik.com.pk/products/kian-3pc-embroidered-festive-pret
Vareha 3Pc - Embroidered Festive Pret,XS / Black / Cotton,BAP1107-XSM-BLK,10493.00,14990.00,Yes,30.0% off,No,Yes,800,BATIK WINTER PRET 2025,BATIK,"3pc, aurelle, batikfestive2025, Black, Casuals, Cotton, EXPLORE TOP PICKS, festiveedit, festivepret, L, luxuryfestivepret, M, S, sale2026, vareehaaurellesg, varehavideo, winter2025, winterpret2025, wintersolids25, XL, XS","Ready to wear 3Pc dress This ensemble features a fully embroidered shirt with embroidered sleeves, finished at the hem and sleeves with self color crochet lace for a clean and subtle detail. The embroidery remains consistent across the shirt, creating a composed look. Paired with an embroidered farshi shalwar , the outfit carries a classic and structured silhouette. An embroidered crinkle dupatta with detailed borders completes the set, tying the entire look together. Disclaimer: Colors may slig",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Vareha-3Pc-Embroidered-Festive-Pret-BATIK-25108786085934.jpg?v=1767073492,https://batik.com.pk/products/vatcha-3pc-embroidered-karandi-dress
Vareha 3Pc - Embroidered Festive Pret,S / Black / Cotton,BAP1107-SML-BLK,10493.00,14990.00,Yes,30.0% off,Yes,Yes,800,BATIK WINTER PRET 2025,BATIK,"3pc, aurelle, batikfestive2025, Black, Casuals, Cotton, EXPLORE TOP PICKS, festiveedit, festivepret, L, luxuryfestivepret, M, S, sale2026, vareehaaurellesg, varehavideo, winter2025, winterpret2025, wintersolids25, XL, XS","Ready to wear 3Pc dress This ensemble features a fully embroidered shirt with embroidered sleeves, finished at the hem and sleeves with self color crochet lace for a clean and subtle detail. The embroidery remains consistent across the shirt, creating a composed look. Paired with an embroidered farshi shalwar , the outfit carries a classic and structured silhouette. An embroidered crinkle dupatta with detailed borders completes the set, tying the entire look together. Disclaimer: Colors may slig",https://cdn.shopify.com/s/files/1/0047/7967/1598/files/Vareha-3Pc-Embroidered-Festive-Pret-BATIK-25108786085934.jpg?v=1767073492,https://batik.com.pk/products/vatcha-3pc-embroidered-karandi-dress
